original_english,improved_english,dutch_translation
"You can also subscribe to the report
 on a weekly or monthly basis and the",You can also subscribe to the report on a weekly or monthly basis.,U kunt zich ook abonneren nan het rapport nan wekelijkse of maandelijkse basis.
report will be sent to your email ID.,The report will be sent to your email address.,Het rapport wordt naar uw e-mailadres verzonden.
"<b>Request Report</b>
 To generate report for a specific <b>Driver Group</b>, navigate to <b>Dashboard</b>
 <b></b>and tap the Menu icon.","<b>Request Report</b>
To generate a report for a specific <b>Driver Group</b>, navigate to the <b>Dashboard</b> and tap the <b>Menu icon</b>.","<b>Rapport Aanvragen</b>
Om een rapport te genereren voor een specifieke <b>Bestuurdersgroep</b>, navigeer naar het <b>Dashboard</b> en tik op het <b>menupictogram</b>."
"Tap <b>Group</b> and select
 the <b>Driver Group</b> from the list.",Tap <b>Group</b> and select the <b>Driver Group</b> from the list.,Tik op <b>Groep</b> en selecteer de <b>Bestuurdersgroep</b> uit de lijst.
Tap the back arrow to return to the <b>Menu</b>.,Tap the back arrow to return to the <b>Menu</b>.,Tik op de terugpijl nan terugkeren nan het <b>Menu</b>.
Tap <b>Reports</b> and then\n tap <b>Executive Reports</b>.,Tap <b>Reports</b> and then tap <b>Executive Reports</b>.,Tik op <b>Rapporten</b> en tik vervolgens op <b>Samenvattende Verslagen</b>.
Tap the <b>Create Request</b> button on the top\n right corner of the\n Executive Reports screen.,Tap the <b>Create Request</b> button in the top right corner of the Executive Reports screen.,Tik op de knop <b>Aanvraag Aanmaken</b> in de rechterbovenhoek van het scherm Samenvattende Verslagen.
The Create Request screen is displayed.,The Create Request screen is displayed.,Het Aanvraag Aanmaken-scherm wordt weergegeven.
"Select the <b>Time Duration</b> by choosing
 the<b> Week</b> or <b>Month</b> buttons.",Select the <b>Time Duration</b> by choosing the<b> Week</b> or <b>Month</b> buttons.,Selecteer de <b>nan</b> door de <b>Week</b>- of <b>Maand</b>-knoppen te kiezen.
"You can also use the arrow buttons
 to select required week or month.",You can also use the arrow buttons to select required week or month.,U kunt ook de pijlknoppen gebruiken om de gewenste week of maand te selecteren.
"Enter a name for the report
 in the Report Name field.",Enter a name for the report in the Report Name field.,Voer een naam in voor het rapport in het veld 'Rapportnaam'.
Tap Submit Request.,Tap Submit Request.,Tik op Aanvraag Indienen.
You will receive a notification\n once the report is ready.,You will receive a notification once the report is ready.,U ontvangt een melding zodra het rapport gereed is.
The report will also be sent\n to your registered e-mail id.,The report will also be sent to your registered e-mail ID.,Het rapport zal ook worden verzonden naar uw Geregistreerd e-mail-ID.
You can also view and download\n the report on the portal.,You can also view and download the report on the portal.,U kunt het rapport ook bekijken en downloaden op het portaal.
"<b>View and Download Executive Reports</b>
 Tap the <b>Menu</b> icon on the top-left
 corner of the dashboard screen.",<b>View and Download Executive Reports</b> Tap the <b>Menu</b> icon on the top-left corner of the dashboard screen.,<b>Bekijk en download Samenvattende Verslagen</b> Tik op het <b>Menu</b>-pictogram in de linkerbovenhoek van het dashboardscherm.
"Tap Reports and then
 tap <b>Executive Reports.</b>",Tap Reports and then tap <b>Executive Reports.</b>,Tik op Rapporten en tik vervolgens op <b>Samenvattende Verslagen.</b>
The Executive Reports screen displays\n a list of all the requested reports.,The Executive Reports screen displays a list of all the requested reports.,Het scherm Samenvattende Verslagen toont een lijst van alle aangevraagde verslagen.
Tap the <b>View and Download Report</b>\n button to view the report.,Tap the <b>View and Download Report</b> button to view the report.,Tik op de <b>Rapport Bekijken en Downloaden</b> knop om het rapport te bekijken.
"Tap the <b>Download</b> icon on the top right
 corner of the screen to
 download the report.",Tap the <b>Download</b> icon in the top right corner of the screen to download the report.,Tik op het <b>Download</b>-pictogram in de rechterbovenhoek van het scherm om het rapport te downloaden.
"For more details, tap the floating
 Help icon in the bottom-right corner.","For more details, tap the floating Help icon in the bottom-right corner.","Voor meer informatie, tik op het zwevende Help-pictogram in de rechterbenedenhoek."
